event,bunker_ssvid,neighbor_ssvid,event_start,event_end,mean_latitude,mean_longitude,median_distance_km,median_speed_knots,event_duration_hr
13a543ff8c1b4f05cf0e1b61fe0c79c4,273396750,273892200,2018-12-12T23:50:00Z,2018-12-13T02:20:00Z,56.48715326,145.7884519,0.039,0.568,2.5
e2bf6834e9c8635948738334b00b1aad,273396750,273446030,2019-02-24T10:30:00Z,2019-02-24T14:00:00Z,60.01769631,165.8462447,0.052,0.646,3.5
7024df796899379c8df4cd16e354e8db,273396750,273290500,2018-01-22T11:30:00Z,2018-01-22T15:20:00Z,56.3411031,146.9546837,0.163,1,3.833333333
8c7ff39a92276bed3fa4557321d0900c,273396750,273892200,2018-11-19T20:50:00Z,2018-11-20T00:00:00Z,49.97112824,156.7455926,0.062,0.641,3.166666667
10858619ab06dea5753585e0a271d862,273430420,273435300,2015-11-09T07:00:00Z,2015-11-09T11:00:00Z,48.85484932,140.2820593,0.034,0.058,4
356ceeba5aa2d1607d23a6d74533c517,273430420,273435300,2015-10-10T14:10:00Z,2015-10-10T16:30:00Z,48.82930835,140.3048208,0.035,0.18,2.333333333
c3e7e24ca76b3ffbdc309f8f6d8bc8c9,273813050,273820420,2018-10-09T11:10:00Z,2018-10-09T13:40:00Z,53.83379907,154.8048487,0.034,0.517,2.5
c176d8b2a067630ab25e31f8984571c4,273831000,273313060,2019-07-19T10:10:00Z,2019-07-20T14:20:00Z,60.41492967,166.1269633,0.013,0.02,28.16666667
2a6eca106685d89989382c84416ea4f0,273832000,273893400,2017-11-03T14:20:00Z,2017-11-03T17:30:00Z,48.51262389,140.9930449,0.037,1.774,3.166666667
46d4bf0aed3c15d3322e80fbf3c630a4,273832000,273893400,2017-10-21T10:20:00Z,2017-10-21T13:00:00Z,47.9035405,140.3395204,0.041,0.999,2.666666667
3cf543c64c2dbbc977479908f18b99d7,273832000,273893400,2017-11-25T01:30:00Z,2017-11-25T04:40:00Z,48.6418304,140.5797949,0.049,0.821,3.166666667
2a07f029037ae9b5b94519dd882058c9,309401000,601175000,2016-05-20T05:40:00Z,2016-05-20T08:00:00Z,-33.8744312,18.26020881,0.158,1.022,2.333333333
2d9113a22d236702688dbdf5e0094bdc,309542000,209564000,2016-12-26T06:50:00Z,2016-12-26T09:00:00Z,34.49935759,33.37103323,0.055,1.838,2.166666667
8335ca91727960f2b16dfb476df10ef7,309553000,209564000,2018-10-24T05:20:00Z,2018-10-24T08:30:00Z,34.52304212,33.30679008,0.115,0.232,3.166666667
f819f5a31234fbf8fc76826cf2859f53,309813000,601175000,2017-01-20T14:30:00Z,2017-01-20T16:40:00Z,-33.84004356,18.21412867,0.036,1.21,2.166666667
14d66d0b96197e86dc2e4ed7256761a9,310447000,601218900,2018-09-01T20:20:00Z,2018-09-01T23:40:00Z,-33.84938364,18.24864345,0.078,0.998,3.333333333
ae1820b5940ba584c53b383fefea96ea,310447000,601218900,2018-05-12T04:10:00Z,2018-05-12T06:20:00Z,-33.94287222,18.2095232,0.075,0.858,2.166666667
95c0aabf80ddb01566a78211c72b890a,310482000,601218900,2015-11-26T04:00:00Z,2015-11-26T08:10:00Z,-33.85928107,18.24146906,0.095,1.363,4.166666667
df7afac70500fed2ec049992e5b6b821,310487000,601218900,2018-08-23T19:20:00Z,2018-08-23T23:00:00Z,-33.90462453,18.20993977,0.093,1.381,3.666666667
9dfefbf93356733126450a58fd44965f,310535000,601175000,2017-09-02T09:40:00Z,2017-09-02T13:00:00Z,-33.83997873,18.20315704,0.056,1.483,3.333333333
6217a1bda886936c5a8bc2ca15c1b6cd,310542000,601218900,2017-01-02T01:10:00Z,2017-01-02T03:30:00Z,-33.83313821,18.20986016,0.094,1.25,2.333333333
568e6d6abdf0ff500c330432cc98a9bf,310550000,601218900,2019-05-12T09:00:00Z,2019-05-12T11:50:00Z,-33.86291189,18.2317745,0.11,1.38,2.833333333
69d5020ae8a4858b805442e44cc7e9a3,310560000,601218900,2018-11-30T09:40:00Z,2018-11-30T12:20:00Z,-33.88253167,18.25214181,0.055,0.831,2.666666667
64191bc08475d5acad54c74025ff54f3,310565000,601175000,2017-06-15T20:00:00Z,2017-06-15T22:10:00Z,-33.85733626,18.22559711,0.167,1.17,2.166666667
b13f09a6c959165337fb45f299113c65,310594000,601175000,2016-04-27T05:40:00Z,2016-04-27T08:40:00Z,-33.85443061,18.21485288,0.099,1.907,3
e3f8f5c67bd3bd458147998fe1a300d1,310597000,601175000,2019-03-28T07:00:00Z,2019-03-28T10:10:00Z,-33.84501885,18.22482967,0.035,0.389,3.166666667
598649aaeebcf8417d13eaeb268a48ae,310597000,601175000,2018-01-01T11:40:00Z,2018-01-01T15:30:00Z,-33.86805052,18.23547476,0.121,1.138,3.833333333
bbb627f8a0681dac88ecbeccd4ac184e,310644000,601175000,2018-09-28T12:30:00Z,2018-09-28T15:20:00Z,-33.85354359,18.23053656,0.07,1.769,2.833333333
4622a56061c3c680c334437aba510c43,310652000,601175000,2016-11-22T08:30:00Z,2016-11-22T12:00:00Z,-33.85755458,18.25587256,0.059,1.082,3.5
a0b302566c6f557002335583ca44cc00,310774000,601245000,2019-07-09T22:40:00Z,2019-07-10T01:00:00Z,-33.89460092,18.25092168,0.039,1.941,2.333333333
863735ee13e735a405f52a503c2e228d,310774000,601175000,2019-02-20T03:00:00Z,2019-02-20T05:30:00Z,-33.8765216,18.25484167,0.034,1.617,2.5
6a90595af93249198c97b384256c0452,311000048,209564000,2015-01-27T04:40:00Z,2015-01-27T07:30:00Z,34.55417348,33.26185165,0.066,0.254,2.833333333
ce6b4e959ab5de6453aab627114c7a58,311000285,601175000,2018-06-27T06:10:00Z,2018-06-27T08:50:00Z,-33.85311726,18.26712343,0.068,0.813,2.666666667
187b3ba981a9faa7ce04991e727595cf,311000337,601258800,2019-05-29T17:00:00Z,2019-05-29T19:20:00Z,-33.8518341,18.23604793,0.12,0.451,2.333333333
07984a7f7acd1ed345f19fa09dd22975,311000337,601258800,2019-02-15T13:40:00Z,2019-02-15T16:40:00Z,-33.86264455,18.24350565,0.124,1.241,3
1794da1ba67c3269edc3e114769e561f,311000357,211481333,2017-05-22T15:30:00Z,2017-05-22T22:10:00Z,37.84124323,120.145645,0.464,0.027,6.666666667
ffa9f9a44e1af8753b668ed2e40a3942,311000452,601245000,2019-09-18T07:00:00Z,2019-09-18T09:30:00Z,-33.86114349,18.23468654,0.18,1.381,2.5
e8a3ee84bd9b1a8a1c947b0f8566f0f3,311000466,412213732,2016-11-06T13:00:00Z,2016-11-06T15:20:00Z,40.06855127,121.5055275,0.383,0.014,2.333333333
c4702f3db898aa7524d3e3c028451f5e,311000477,601175000,2019-10-02T06:30:00Z,2019-10-02T09:00:00Z,-33.86161586,18.24752213,0.042,1.103,2.5
7b911bcfb6a38a5528603c8ea4997e62,311000520,601175000,2017-03-29T08:10:00Z,2017-03-29T10:20:00Z,-33.89141684,18.24152915,0.109,1.652,2.166666667
