event,carrier_mmsi,neighbor_mmsi,event_start,event_end,mean_latitude,mean_longitude,median_distance_km,median_speed_knots,event_duration_hr
d8427e3954a2eb20522e41a62e2e4876,273354740,273878100,2018-04-02T23:00:00Z,2018-04-03T14:10:00Z,57.01496095,149.834044,0.045,1.722,15.16666667
c1d57cfd706aa265e2664eff4ef0d3d7,273354740,273892100,2016-11-06T17:50:00Z,2016-11-06T22:30:00Z,59.36981486,148.1074967,0.046,0.016,4.666666667
b754f6376a64ce5bcfb96abd4c15db9a,273354740,273892100,2019-03-10T04:00:00Z,2019-03-10T12:40:00Z,54.78067428,153.758655,0.032,1.084,8.666666667
bc8f17532c91142c2ecec2d7b413dd2b,273354740,273892100,2017-03-12T16:40:00Z,2017-03-12T18:50:00Z,56.96340546,156.2335046,0.038,0.012,2.166666667
28781a9c6f927ccd7a6f2795da4c505a,273354740,273892100,2018-04-09T19:40:00Z,2018-04-09T23:10:00Z,58.0240475,149.0673671,0.017,0.671,3.5
8b6b615de74215f622c46d68c0e3e93f,273354740,273892100,2018-04-01T09:20:00Z,2018-04-01T13:50:00Z,56.77999605,150.5010839,0.041,0.381,4.5
8c77bbf31b3bcedb16804c2708f44deb,273354740,273892610,2018-04-04T09:40:00Z,2018-04-04T18:30:00Z,58.48168552,151.5894392,0.05,0.859,8.833333333
41881316dcfb0d9dc62011ef0e1eaeb3,273354740,273892610,2017-01-29T16:20:00Z,2017-01-29T23:40:00Z,57.19384257,149.0672247,0.056,0.506,7.333333333
8bef144c39f60875861150f92c46a06c,273354740,273892610,2018-02-28T22:00:00Z,2018-03-01T08:10:00Z,57.39032956,150.3397607,0.014,1.454,10.16666667
ec5f003311fa01fe553282a20b6f6d2d,273354740,273893000,2015-06-28T09:20:00Z,2015-06-28T12:30:00Z,63.75314125,179.9050707,0.061,1.477,3.166666667
f61fa92a0519f3e740fbe225528e7cdf,273354740,273895700,2017-03-15T10:30:00Z,2017-03-15T18:20:00Z,57.31948033,154.8157261,0.046,1.201,7.833333333
078a74c48bef3fc5955787eba02faab3,273354740,273895700,2017-01-30T00:20:00Z,2017-01-30T08:40:00Z,57.19300548,149.1370099,0.043,0.653,8.333333333
22b002df93c4b2a6bb5a4a3ab3479f60,273354740,273895700,2017-02-09T07:20:00Z,2017-02-09T17:40:00Z,52.62164471,156.0185004,0.026,0.033,10.33333333
b1a524a1463fdfeb453686fb18cec162,273354740,273897300,2017-01-30T20:00:00Z,2017-01-31T00:00:00Z,57.14602528,149.1181919,0.052,0.391,4
837fbb73ed2b77036e44607f7599d47a,273354740,273897300,2017-02-10T07:40:00Z,2017-02-10T09:50:00Z,52.62127627,156.0189958,0.063,0.018,2.166666667
017b98b142b3cbb0ead5cd610a7b483a,273354740,273897300,2019-03-12T08:30:00Z,2019-03-12T16:10:00Z,54.12510634,155.3864874,0.053,0.038,7.666666667
9a3f219f27bc74e8c577f705a13a07ce,273354740,416004775,2015-11-20T02:40:00Z,2015-11-20T10:30:00Z,40.78164236,149.5785983,0.097,0.715,7.833333333
749764da52fe312a33b5021ae3ea0a95,273354740,440025000,2015-10-10T08:30:00Z,2015-10-10T12:00:00Z,62.29372564,177.1485468,0.038,0.04,3.5
872a7e4e317d6e192c11767e963fde0a,273354740,440025000,2015-08-20T20:50:00Z,2015-08-21T08:30:00Z,62.30969308,177.6454517,0.044,0.012,11.66666667
